"CLINIC_ID","STRIPE_SUBSCRIPTION_ID","SUBSCRIPTION_START_DATE","SUBSCRIPTION_END_DATE","SUBSCRIPTION_CURRENT_PERIOD_STARTED_AT","SUBSCRIPTION_CURRENT_PERIOD_ENDS_AT","MOST_RECENT_INVOICE_CREATED_AT","LAST_PAYMENT_AT","CHECKOUT_STATUS","SUBSCRIPTION_STATUS","BILLING_INTERVAL_IN_MONTHS","FIRST_PAYMENT_METHOD_TYPE","FIRST_CARD_BRAND","FIRST_PAYMENT_AMOUNT","FIRST_PAYMENT_AMOUNT_OFF","FIRST_PAYMENT_PROMOTION_CODE","FIRST_PAYMENT_COUPON_ID","FIRST_PAYMENT_AMOUNT_OFF_2"
9850,"sub_1NhzNwCpjOdJI4gTy352X2fP","2023-08-22",,"2023-09-22 15:33:00.000","2023-10-22 15:33:00.000","2023-09-22 15:43:15.000","2023-09-22 16:46:13.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9798,"sub_1NiGTdCpjOdJI4gTXJDW41LC","2023-08-23",,"2023-09-23 09:48:01.000","2023-10-23 09:48:01.000","2023-09-23 09:52:16.000","2023-09-23 10:53:48.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9930,"sub_1NiIHzCpjOdJI4gT8c47qFV9","2023-08-23",,"2023-09-23 11:44:07.000","2023-10-23 11:44:07.000","2023-09-23 11:47:25.000","2023-09-23 12:53:03.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9730,"sub_1NiH0yCpjOdJI4gT2xfXpKzi","2023-08-23",,"2023-09-23 10:22:28.000","2023-10-23 10:22:28.000","2023-09-23 10:26:34.000","2023-09-23 11:26:40.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9079,"sub_1NiGQFCpjOdJI4gTO4P2S5Kp","2023-08-23",,"2023-09-23 09:44:31.000","2023-10-23 09:44:31.000","2023-09-23 09:52:17.000","2023-09-23 10:53:50.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9624,"sub_1NiLS5CpjOdJI4gTnIhhSs7f","2023-08-23",,"2023-08-23 15:06:45.000","2024-02-23 15:06:45.000","2023-08-23 15:06:45.000","2023-08-25 03:46:50.000","complete","active","6","Boleto",,479.4,,,,
9762,"sub_1NiH6qCpjOdJI4gT3fFlUqho","2023-08-23",,"2023-09-23 10:28:32.000","2023-10-23 10:28:32.000","2023-09-23 10:43:22.000","2023-09-23 11:49:36.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9899,"sub_1NiIazCpjOdJI4gTreIhJM2Z","2023-08-23",,"2023-09-23 12:03:45.000","2023-10-23 12:03:45.000","2023-09-23 12:17:52.000","2023-09-23 13:20:30.000","complete","active","1","Cartão de Crédito","mastercard",79.9,,,,
9197,"sub_1NiNl9CpjOdJI4gTqkf5BysI","2023-08-23",,"2023-09-23 17:34:35.000","2023-10-23 17:34:35.000","2023-09-23 17:41:13.000","2023-10-11 16:43:31.000","open","active","1","Cartão de Crédito","visa",89.9,,,,
9368,"sub_1NiHm3CpjOdJI4gTH25zw7WY","2023-08-23",,"2023-09-23 11:11:07.000","2023-10-23 11:11:07.000","2023-09-23 11:11:21.000","2023-09-23 12:13:03.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9954,"sub_1NiRxTCpjOdJI4gT5gC6PRUq","2023-08-23",,"2023-08-23 22:03:35.000","2024-08-23 22:03:35.000","2023-08-23 22:03:35.000","2023-08-25 11:12:45.000","complete","active","12","Boleto",,419.4,,"PREP50","dV87G5C6",
9929,"sub_1NiNU4CpjOdJI4gTIHmkCG7Y","2023-08-23",,"2023-09-23 17:16:56.000","2023-10-23 17:16:56.000","2023-09-23 17:17:26.000","2023-09-23 18:19:38.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
